priority_rank,priority_score,priority_tier,catalog,source_id,cohorts,cohort_ranks,cohort_count,cohort_score,visibility_score,quality_score,crossmatch_gap_score,priority_reasons,quality_flags,quality_flag_count,has_official_best_neighbour,has_fis_supplemental_match,has_any_gaia_hip_match,official_neighbourhood_ids,counterpart_ids,apparent_mag,r_pc_parallax,pm_total_masyr
1,171.1,P1,hipparcos2,71683,nearest;brightest;high_pm,nearest:3;brightest:5;high_pm:16,3,95.1,36.0,18.0,22.0,brightest_rank=5;nearest_rank=3;high_pm_rank=16;multi_cohort=3;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,0.13729999959468842,1.3248367309570312,3709.615051646195
2,161.632,P1,hipparcos2,32349,brightest;nearest;high_pm,brightest:1;nearest:6;high_pm:114,3,91.632,30.0,18.0,22.0,brightest_rank=1;nearest_rank=6;high_pm_rank=114;multi_cohort=3;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,-1.0875999927520752,2.637061357498169,1339.412985228977
3,160.132,P1,hipparcos2,37279,brightest;nearest;high_pm,brightest:9;nearest:14;high_pm:129,3,90.132,30.0,18.0,22.0,brightest_rank=9;nearest_rank=14;high_pm_rank=129;multi_cohort=3;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,0.46070000529289246,3.51419734954834,1259.203362487569
4,148.344,P1,hipparcos2,71681,nearest;high_pm;brightest,nearest:1;high_pm:17;brightest:19,3,94.344,36.0,18.0,0.0,brightest_rank=19;nearest_rank=1;high_pm_rank=17;multi_cohort=3;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,True,False,True,5877748442128924544,5877748442128924544,1.242900013923645,1.254831075668335,3702.511573580831
5,136.476,P1,hipparcos2,69673,brightest;high_pm;nearest,brightest:4;high_pm:35;nearest:253,3,79.476,25.0,10.0,22.0,brightest_rank=4;nearest_rank=253;high_pm_rank=35;multi_cohort=3;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,0.11140000075101852,11.257457733154297,2279.416963984431
6,123.856,P1,gaia_dr3,4683897617110115200,high_pm;brightest;nearest,high_pm:65;brightest:79;nearest:137,3,80.856,25.0,18.0,0.0,brightest_rank=79;nearest_rank=137;high_pm_rank=65;multi_cohort=3;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,True,False,True,2021,2021,2.680731773376465,7.478346136538074,2242.868356426148
7,121.46,P1,gaia_dr3,2452378776434477184,nearest;high_pm;brightest,nearest:21;high_pm:96;brightest:233,3,77.46,26.0,18.0,0.0,brightest_rank=233;nearest_rank=21;high_pm_rank=96;multi_cohort=3;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,True,False,True,8102,8102,3.3003997802734375,3.6521709611425766,1922.3185475320915
8,120.692,P1,gaia_dr3,5140693571158946048,nearest;high_pm,nearest:6;high_pm:29,2,56.692,24.0,18.0,22.0,nearest_rank=6;high_pm_rank=29;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,10.817837715148926,2.674910296032687,3231.9073047082566
9,120.668,P1,gaia_dr3,5140693571158739840,nearest;high_pm,nearest:7;high_pm:28,2,56.668,24.0,18.0,22.0,nearest_rank=7;high_pm_rank=28;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,10.50754165649414,2.7195203918735054,3428.807325044849
10,120.248,P1,gaia_dr3,6412596012146801152,high_pm;nearest,high_pm:13;nearest:23,2,56.248,24.0,18.0,22.0,nearest_rank=23;high_pm_rank=13;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,18.030664443969727,3.6946991407427134,4684.164530277503
11,120.06,P1,hipparcos2,67593,high_pm;nearest,high_pm:6;nearest:47,2,55.06,20.0,23.0,22.0,nearest_rank=47;high_pm_rank=6;multi_cohort=2;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,False,False,False,,,13.20829963684082,5.325948238372803,5798.5152166567605
12,118.228,P1,gaia_dr3,3902874650602495232,nearest;high_pm,nearest:33;high_pm:108,2,52.228,18.0,26.0,22.0,nearest_rank=33;high_pm_rank=108;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,False,False,False,,,11.235116004943848,4.326784785759761,1808.8200397907397
13,117.184,P1,gaia_dr3,3902874650601954816,nearest;high_pm,nearest:36;high_pm:132,2,51.184,18.0,26.0,22.0,nearest_rank=36;high_pm_rank=132;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,False,False,False,,,11.240161895751953,4.474723930280812,1722.4831829298212
14,116.58,P1,hipparcos2,97649,brightest;nearest,brightest:13;nearest:46,2,66.58,20.0,8.0,22.0,brightest_rank=13;nearest_rank=46;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_component_flag,hip_component_flag,1,False,False,False,,,0.8273000121116638,5.129520416259766,660.2961434083952
15,115.96,P1,hipparcos2,72511,nearest;high_pm,nearest:25;high_pm:101,2,52.96,18.0,23.0,22.0,nearest_rank=25;high_pm_rank=101;multi_cohort=2;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,False,False,False,,,11.810199737548828,4.034047603607178,1383.7913471690738
16,115.7,P1,hipparcos2,91262,brightest;nearest,brightest:3;nearest:104,2,63.7,20.0,10.0,22.0,brightest_rank=3;nearest_rank=104;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,0.0868000015616417,7.678722381591797,349.72059776341456
17,115.468,P1,hipparcos2,72509,nearest;high_pm,nearest:35;high_pm:98,2,52.468,18.0,23.0,22.0,nearest_rank=35;high_pm_rank=98;multi_cohort=2;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,False,False,False,,,12.314000129699707,4.658312797546387,1442.0773635973903
18,111.384,P1,hipparcos2,73182,high_pm;nearest,high_pm:52;nearest:64,2,52.384,14.0,23.0,22.0,nearest_rank=64;high_pm_rank=52;multi_cohort=2;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,False,False,False,,,8.18239974975586,5.925223350524902,1933.9426768392075
19,109.06,P1,gaia_dr3,425040000962559616,nearest;brightest;high_pm,nearest:84;brightest:242;high_pm:376,3,63.06,22.0,18.0,6.0,brightest_rank=242;nearest_rank=84;high_pm_rank=376;multi_cohort=3;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,3821,3.3200666904449463,5.923042138328477,1211.2579334334757
20,107.516,P1,hipparcos2,3821,nearest;high_pm;brightest,nearest:67;high_pm:140;brightest:293,3,69.516,22.0,10.0,6.0,brightest_rank=293;nearest_rank=67;high_pm_rank=140;multi_cohort=3;fis_supplemental_only_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,True,True,,425040000962559616,3.5834999084472656,5.953089714050293,1222.1455531155034
21,106.244,P1,gaia_dr3,3195919254111314816,high_pm;nearest,high_pm:17;nearest:54,2,54.244,20.0,10.0,22.0,nearest_rank=54;high_pm_rank=17;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,9.775308609008789,5.013747228688032,4083.715085874018
22,106.116,P1,gaia_dr3,76868614540049408,nearest;high_pm,nearest:35;high_pm:80,2,53.116,21.0,10.0,22.0,nearest_rank=35;high_pm_rank=80;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,10.681061744689941,4.4696315690373,2083.3929286282932
23,105.916,P1,gaia_dr3,6439125097427143808,nearest;high_pm,nearest:29;high_pm:40,2,54.916,21.0,8.0,22.0,nearest_rank=29;high_pm_rank=40;multi_cohort=2;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1,astrometric_excess_noise_gt_1,1,False,False,False,,,14.005345344543457,4.005364851523573,2649.3785292090674
24,105.052,P1,hipparcos2,2021,high_pm;nearest;brightest,high_pm:39;nearest:97;brightest:148,3,80.052,25.0,0.0,0.0,brightest_rank=148;nearest_rank=97;high_pm_rank=39;multi_cohort=3,,0,True,False,True,4683897617110115200,4683897617110115200,2.930500030517578,7.458789825439453,2243.076489935196
